sentence_id,entity_tag,entity_category,entity_src,entity_translated
Q1204959_0,<entity2>,['Fictional entity'],Oceania,Ozeanien
Q1204959_2,<entity1>,['Fictional entity'],Ministry of Truth,Wahrheitsministerium
Q1216303_0,<entity1>,"['Artwork', 'Book']",Orpheus,Orpheus
Q1216303_0,<entity2>,"['Artwork', 'Book']",Sonnets to Orpheus,Die Sonette an Orpheus
Q1216303_1,<entity1>,"['Artwork', 'Book']",Sonnets to Orpheus,Die Sonette an Orpheus
Q1216303_2,<entity1>,"['Artwork', 'Book']",Sonnets to Orpheus,Die Sonette an Orpheus
Q1230632_0,<entity1>,['TV series'],Tinker Tailor Soldier Spy,"Dame, König, As, Spion"
Q1230632_1,<entity1>,['TV series'],Tinker Tailor Soldier Spy,"Dame, König, As, Spion"
Q1230632_2,<entity1>,['TV series'],Tinker Tailor Soldier Spy,"Dame, König, As, Spion"
Q1235125_0,<entity1>,['Book'],Into the Wild,In die Wildnis
Q1235125_1,<entity1>,['Book'],Into the Wild,In die Wildnis
Q1235125_2,<entity1>,['Book'],Into the Wild,In die Wildnis
Q1242146_0,<entity1>,"['Place of worship', 'Landmark']",Donskoy Monastery,Donskoi-Kloster
Q1242146_1,<entity1>,"['Place of worship', 'Landmark']",Donskoy Monastery,Donskoi-Kloster
Q1242146_2,<entity1>,"['Place of worship', 'Landmark']",Donskoy Monastery,Donskoi-Kloster
Q1257747_0,<entity1>,['Landmark'],Trinity Church,Dreifaltigkeitskirche
Q1257747_0,<entity2>,['Landmark'],Nikitniki,Nikitniki
Q1257747_1,<entity1>,['Landmark'],Trinity Church,Dreifaltigkeitskirche
Q1257747_1,<entity2>,['Landmark'],Nikitniki,Nikitniki
Q1257747_2,<entity1>,['Landmark'],Trinity Church,Dreifaltigkeitskirche
Q1257747_2,<entity2>,['Landmark'],Nikitniki,Nikitniki
Q1264983_0,<entity1>,['TV series'],The Man from U.N.C.L.E,Solo für O.N.C.E.L.
Q1264983_1,<entity1>,['TV series'],The Man from U.N.C.L.E.,Solo für O.N.C.E.L.
Q1264983_2,<entity1>,['TV series'],The Man from U.N.C.L.E,Solo für O.N.C.E.L.
Q126877_0,<entity1>,"['Landmark', 'Natural place']",Gorky Park,Gorki-Park
Q126877_1,<entity1>,"['Landmark', 'Natural place']",Gorky Park,Gorki-Park
Q126877_2,<entity1>,"['Landmark', 'Natural place']",Gorky Park,Gorki-Park
Q1305660_0,<entity1>,['TV series'],In the House,Ein schrecklich nettes Haus
Q1305660_0,<entity2>,['TV series'],In the House,Ein schrecklich nettes Haus
Q1305660_1,<entity1>,['TV series'],In the House,Ein schrecklich nettes Haus
Q1305660_1,<entity2>,['TV series'],In the House,Ein schrecklich nettes Haus
Q1305660_2,<entity1>,['TV series'],In the House,Ein schrecklich nettes Haus
Q1305660_2,<entity2>,['TV series'],In the House,Ein schrecklich nettes Haus
Q131119_0,<entity1>,"['Artwork', 'Book']",First Epistle,Erster Brief
Q131119_0,<entity2>,"['Artwork', 'Book']",of Peter,des Petrus
Q131119_0,<entity3>,"['Artwork', 'Book']",Christianity,Christentum
Q131119_1,<entity1>,"['Artwork', 'Book']",Peter,Petrus
Q131119_2,<entity1>,"['Artwork', 'Book']",First Epistle,Erster Brief
Q131119_2,<entity2>,"['Artwork', 'Book']",Peter,Petrus
Q13407659_0,<entity1>,['TV series'],Valley of the Wolves,Tal der Wölfe
Q13407659_1,<entity1>,['TV series'],Valley of the Wolves,Tal der Wölfe
Q13407659_2,<entity1>,['TV series'],Valley of the Wolves,Tal der Wölfe
Q13501123_0,<entity1>,['TV series'],Worzel Gummidge,Die Vogelscheuche
Q13501123_1,<entity1>,['TV series'],Worzel Gummidge,Die Vogelscheuche
Q13501123_2,<entity1>,['TV series'],Worzel Gummidge,Die Vogelscheuche
Q1367269_0,<entity1>,['Landmark'],Moscow Belorussky,Moskauer Belarussischer
Q1367269_0,<entity2>,['Landmark'],station,Bahnhof
Q1367269_1,<entity1>,['Landmark'],Moscow Belorussky,Moskauer Belarussischer
Q1367269_2,<entity1>,['Landmark'],Moscow Belorussky railway station,Belarussischer Bahnhof
Q1381934_0,<entity1>,['Landmark'],Ipatiev House,Ipatjew-Haus
Q1381934_1,<entity1>,['Landmark'],Ipatiev House,Ipatjew-Haus
Q1381934_2,<entity1>,['Landmark'],Ipatiev House,Ipatjew-Haus
Q140527_0,<entity1>,['Artwork'],The Three Musketeers,Die drei Musketiere
Q140527_1,<entity1>,['Artwork'],The Three Musketeers,Die drei Musketiere
Q140527_2,<entity1>,['Artwork'],The Three Musketeers,Die drei Musketiere
Q1408916_0,<entity1>,['Landmark'],Ivangorod Fortress,Festung Iwangorod
Q1408916_1,<entity1>,['Landmark'],Ivangorod Fortress,Festung Iwangorod
Q1408916_2,<entity1>,['Landmark'],Ivangorod Fortress,Festung Iwangorod
Q1413856_0,<entity1>,['Musical work'],Geographical Fugue,Fuge aus der Geographie
Q1413856_1,<entity1>,['Musical work'],Fugue,Fuge
Q1416458_0,<entity1>,"['Artwork', 'Book']",Stand on Zanzibar,Morgenwelt
Q1416458_1,<entity1>,"['Artwork', 'Book']",Stand on Zanzibar,Morgenwelt
Q1416458_2,<entity1>,"['Artwork', 'Book']",Stand on Zanzibar,Morgenwelt
Q1417153_0,<entity1>,['Person'],Finger Snail,Fingerschnecke
Q1417153_1,<entity1>,['Person'],Finger Snail,Fingerschnecke
Q1417153_2,<entity1>,['Person'],Finger Snail,Fingerschnecke
Q1417153_2,<entity2>,['Person'],Egypt,Ägypten
Q1417441_0,<entity1>,['Landmark'],St Volodymyr's Cathedral,Wladimirkathedrale
Q1417441_1,<entity1>,['Landmark'],St Volodymyr,Heiliger Wladimir
Q1417441_1,<entity2>,['Landmark'],'s Cathedral,s Kathedrale
Q1417441_2,<entity1>,['Landmark'],St Volodymyr's Cathedral,Wladimirkathedrale
Q1424212_0,<entity1>,"['Fictional entity', 'Person']",Rossi,Rossi
Q1424212_1,<entity1>,"['Fictional entity', 'Person']",Rossi,Rossi
Q1424212_2,<entity1>,"['Fictional entity', 'Person']",Mr. Rossi,Herr Rossi
Q1432585_0,<entity1>,['Landmark'],Kazansky railway station,Kasaner Bahnhof
Q1432585_1,<entity1>,['Landmark'],Kazansky railway station,Kasaner Bahnhof
Q1432585_2,<entity1>,['Landmark'],Kazansky railway station,Kasaner Bahnhof
Q1432585_2,<entity2>,['Landmark'],Moscow,Moskau
Q1444768_0,<entity1>,['Movie'],Son of Godzilla,Frankensteins Monster jagen Godzillas Sohn
Q1444768_1,<entity1>,['Movie'],Son of Godzilla,Frankensteins Monster jagen Godzillas Sohn
Q1444768_2,<entity1>,['Movie'],Son of Godzilla,Frankensteins Monster jagen Godzillas Sohn
Q1449713_0,<entity1>,"['Artwork', 'Book']",Hours of Philip the Bold,Stundenbuch Philipps des Kühnen
Q1449713_1,<entity1>,"['Artwork', 'Book']",Hours of Philip the Bold,Stundenbuch Philipps des Kühnen
Q1449713_2,<entity1>,"['Artwork', 'Book']",Hours of Philip the Bold,Stundenbuch Philipps des Kühnen
Q1504526_0,<entity1>,"['Fictional entity', 'Person']",Comic Book Guy,Comicbuchverkäufer
Q1504526_2,<entity1>,"['Fictional entity', 'Person']",Comic,Comic
Q1504526_2,<entity2>,"['Fictional entity', 'Person']",Book Guy,Buchverkäufer
Q1517519_0,<entity1>,['Book'],The Book of the Courtier,Das Buch vom Hofmann
Q1517519_1,<entity1>,['Book'],The Book of the Courtier,Das Buch vom Hofmann
Q1517519_2,<entity1>,['Book'],The Book of the Courtier,Das Buch vom Hofmann
Q1523586_0,<entity1>,['Movie'],A Hatful of Rain,Giftiger Schnee
Q1523586_1,<entity1>,['Movie'],A Hatful of Rain,Giftiger Schnee
Q1523586_2,<entity1>,['Movie'],A Hatful of Rain,Giftiger Schnee
Q15260610_0,<entity1>,['TV series'],One in one!,Eins zu eins!
Q15260610_1,<entity1>,['TV series'],One in one!,Eins zu eins!
Q15260610_2,<entity1>,['TV series'],Russian,Russisch
Q15260610_2,<entity2>,['TV series'],One in one!,Eins zu eins!
Q15299082_0,<entity1>,['TV series'],Turkish,Türkisch
Q15299082_0,<entity2>,['TV series'],Do not worry for me,Sorg dich nicht um mich
Q15299082_1,<entity1>,['TV series'],Do not worry for me,Sorg dich nicht um mich
Q15299082_2,<entity1>,['TV series'],Do not worry for me,Sorg dich nicht um mich
Q1545219_0,<entity1>,"['Fictional entity', 'Person']",Father Brown,Pater Brown
Q1545219_1,<entity1>,"['Fictional entity', 'Person']",Father Brown,Pater Brown
Q1545219_2,<entity1>,"['Fictional entity', 'Person']",Father Brown,Pater Brown
Q154563_0,<entity1>,['Place of worship'],Berlin Cathedral,Berliner Dom
Q154563_1,<entity1>,['Place of worship'],Berlin Cathedral,Berliner Dom
Q1548449_0,<entity1>,['Place of worship'],Great Synagogue,Große Synagoge
Q1548449_0,<entity2>,['Place of worship'],Czech Republic,Tschechische Republik
Q1548449_1,<entity1>,['Place of worship'],Great Synagogue,Große Synagoge
Q1548449_1,<entity2>,['Place of worship'],Plzeň,Pilsen
Q1548449_2,<entity1>,['Place of worship'],Great Synagogue,Große Synagoge
Q15635278_0,<entity1>,['TV series'],Very Good Times,Very Good Times
Q15635278_0,<entity2>,['TV series'],South Korea,Südkorea
Q15635278_1,<entity1>,['TV series'],Very Good Times,Very Good Times
Q15635278_2,<entity1>,['TV series'],South Korean,Südkoreanisch
Q15635278_2,<entity2>,['TV series'],Very Good Times,Very Good Times
Q1579157_0,<entity1>,['Artwork'],Mount Royal Cross,Kreuz auf dem Mont Royal
Q1579157_1,<entity1>,['Artwork'],Mount Royal Cross,Kreuz auf dem Mont Royal
Q1579157_2,<entity1>,['Artwork'],Mount Royal Cross,Kreuz auf dem Mont Royal
Q1579960_0,<entity1>,['Movie'],I Never Sang for My Father,Kein Lied für meinen Vater
Q1579960_1,<entity1>,['Movie'],I Never Sang for My Father,Kein Lied für meinen Vater
Q1579960_2,<entity1>,['Movie'],I Never Sang for My Father,Kein Lied für meinen Vater
Q15804357_0,<entity1>,['Movie'],Quality Time,Quality Time
Q15804357_1,<entity1>,['Movie'],Quality Time,Quality Time
Q15804357_2,<entity1>,['Movie'],Quality Time,Quality Time
Q1585564_0,<entity1>,['Place of worship'],Sakya Monastery,Sakya-Kloster
Q1585564_1,<entity1>,['Place of worship'],Sakya Monastery,Sakya-Kloster
Q1585564_2,<entity1>,['Place of worship'],Sakya Monastery,Sakya-Kloster
Q1585564_2,<entity2>,['Place of worship'],People's Republic of China,Volksrepublik China
Q160341_0,<entity1>,['Person'],Edward IV,Eduard IV.
Q160341_0,<entity2>,['Person'],England,England
Q161106_0,<entity1>,['Person'],Konstantin Pavlovich,Konstantin Pawlowitsch
Q161106_0,<entity2>,['Person'],Russia,Russland
Q16150399_1,<entity1>,['TV series'],American Gangster,American Gangster
Q16150399_2,<entity1>,['TV series'],American Gangster,American Gangster
Q162935_0,<entity1>,['Musical work'],Piano Concerto No. 1,Klavierkonzert Nr. 1
Q162935_1,<entity1>,['Musical work'],Piano Concerto No. 1,Klavierkonzert Nr. 1
Q162935_2,<entity1>,['Musical work'],Piano Concerto No. 1,Klavierkonzert Nr. 1
Q163493_0,<entity1>,['Musical work'],Symphony No. 1,Sinfonie Nr. 1
Q163493_1,<entity1>,['Musical work'],Symphony No. 1,Sinfonie Nr. 1
Q163493_2,<entity1>,['Musical work'],Symphony No. 1,Sinfonie Nr. 1
Q163600_0,<entity1>,['Musical work'],Symphony No. 1,Sinfonie Nr. 1
Q163600_1,<entity1>,['Musical work'],Symphony No. 1,Sinfonie Nr. 1
Q163600_2,<entity1>,['Musical work'],Symphony No. 1,Sinfonie Nr. 1
Q16387049_0,<entity1>,"['Artwork', 'Book']",Mistborn: Shadows of Self,Nebelgeboren: Schatten über den Städten
Q16387049_1,<entity1>,"['Artwork', 'Book']",Mistborn: Shadows of Self,Nebelgeboren: Schatten über den Städten
Q16387049_2,<entity1>,"['Artwork', 'Book']",Mistborn: Shadows of Self,Nebelgeboren: Schatten über den Städten
Q164216_0,<entity1>,['Place of worship'],Monastery of Saint Naum,Kloster Sveti Naum
Q164216_1,<entity1>,['Place of worship'],Monastery of Saint Naum,Kloster Sveti Naum
Q164216_2,<entity1>,['Place of worship'],Monastery of Saint Naum,Kloster Sveti Naum
Q1648509_0,<entity1>,"['Fictional entity', 'Person']",Marya Bolkonskaya,Marja Bolkonskaja
Q1648509_0,<entity2>,"['Fictional entity', 'Person']",Andrei,Andrei
Q1648509_1,<entity1>,"['Fictional entity', 'Person']",Marya Bolkonskaya,Marja Bolkonskaja
Q1648509_2,<entity1>,"['Fictional entity', 'Person']",Marya Bolkonskaya,Marja Bolkonskaja
Q172077_0,<entity1>,['Place of worship'],Dome of the Rock,Felsendom
Q172077_1,<entity1>,['Place of worship'],Dome of the Rock,Felsendom
Q172077_2,<entity1>,['Place of worship'],Dome of the Rock,Felsendom
Q1739780_0,<entity1>,['Movie'],"Dirty Mary, Crazy Larry",Flucht mit Luzifer
Q1739780_1,<entity1>,['Movie'],Dirty Mary,Dirty Mary
Q1739780_1,<entity2>,['Movie'],Crazy Larry,Crazy Larry
Q1739780_2,<entity1>,['Movie'],"Dirty Mary, Crazy Larry",Flucht mit Luzifer
Q1751487_0,<entity1>,['Landmark'],Platov South-Russian State Polytechnic University,Südrussische Staatliche Polytechnische Universität M. I. Platow
Q1751487_1,<entity1>,['Landmark'],Platov South-Russian State Polytechnic University,Südrussische Staatliche Polytechnische Universität M. I. Platow
Q1751487_2,<entity1>,['Landmark'],Platov South-Russian State Polytechnic University,Südrussische Staatliche Polytechnische Universität M. I. Platow
Q1762893_0,<entity1>,['Food'],Romaine,Romanasalat
Q1768389_0,<entity1>,"['Artwork', 'Book']",The Holocaust Industry,Die Holocaust-Industrie
Q1768389_1,<entity1>,"['Artwork', 'Book']",The Holocaust Industry,Die Holocaust-Industrie
Q1768389_2,<entity1>,"['Artwork', 'Book']",The Holocaust Industry,Die Holocaust-Industrie
Q1768389_2,<entity2>,"['Artwork', 'Book']",Holocaust,Holocaust
Q1813571_0,<entity1>,['Artwork'],Apocalypse of Pseudo-Methodius,Apokalypse des Pseudo-Methodius
Q1813571_0,<entity2>,['Artwork'],Syriac Christian,Syrisch-christlich
Q1813571_1,<entity1>,['Artwork'],Apocalypse of Pseudo-Methodius,Apokalypse des Pseudo-Methodius
Q1813571_2,<entity1>,['Artwork'],Apocalypse of Pseudo-Methodius,Apokalypse des Pseudo-Methodius
Q187499_0,<entity1>,"['Place of worship', 'Artwork']",Shrine of Bahá'u'lláh,Schrein Bahá'u'lláhs
Q187499_1,<entity1>,"['Place of worship', 'Artwork']",Shrine of Bahá'u'lláh,Schrein Bahá'u'lláhs
Q187499_2,<entity1>,"['Place of worship', 'Artwork']",Shrine of Bahá'u'lláh,Schrein Bahá'u'lláhs
Q18786543_0,<entity1>,['Artwork'],Everything I Never Told You: A Novel,Was ich euch nicht erzählte
Q18786543_1,<entity1>,['Artwork'],Everything I Never Told You: A Novel,Was ich euch nicht erzählte
Q18786543_2,<entity1>,['Artwork'],Everything I Never Told You: A Novel,Was ich euch nicht erzählte
Q18786543_2,<entity2>,['Artwork'],Celeste Ng,Celeste Ng
Q191362_0,<entity1>,['Musical work'],Piano Concerto No. 15,Klavierkonzert Nr. 15
Q191362_1,<entity1>,['Musical work'],Piano Concerto No. 15,Klavierkonzert Nr. 15
Q191362_1,<entity2>,['Musical work'],Mozart,Mozart
Q191362_2,<entity1>,['Musical work'],Piano Concerto No. 15,Klavierkonzert Nr. 15
Q191362_2,<entity2>,['Musical work'],Mozart,Mozart
Q196161_0,<entity1>,['Place of worship'],Cathedral of Ani,Kathedrale von Ani
Q196161_0,<entity2>,['Place of worship'],Armenian,Armenisch
Q196161_1,<entity1>,['Place of worship'],Cathedral of Ani,Kathedrale von Ani
Q196161_2,<entity1>,['Place of worship'],Cathedral of Ani,Kathedrale von Ani
Q1970746_0,<entity1>,['Book'],Explanatory Dictionary of the Living Great Russian Language,Wörterbuch der lebendigen großrussischen Sprache
Q1970746_1,<entity1>,['Book'],Explanatory Dictionary of the Living Great Russian Language,Wörterbuch der lebendigen großrussischen Sprache
Q1970746_2,<entity1>,['Book'],Explanatory Dictionary of the Living Great Russian Language,Wörterbuch der lebendigen großrussischen Sprache
Q1975060_0,<entity1>,['Book'],Screw Style,Screw Style
Q1975060_1,<entity1>,['Book'],Screw Style,Screw Style
Q1975060_2,<entity1>,['Book'],Screw Style,Screw Style
Q20107429_0,<entity1>,['Person'],Nicolas,Nicolas
Q20107429_0,<entity2>,['Person'],Ångermanland,Ångermanland
Q20107429_1,<entity1>,['Person'],Nicolas,Nicolas
Q20107429_1,<entity2>,['Person'],Ångermanland,Ångermanland
Q20107429_2,<entity1>,['Person'],Nicolas,Nicolas
Q20107429_2,<entity2>,['Person'],Ångermanland,Ångermanland
Q2030868_0,<entity1>,['TV series'],All Dogs Go to Heaven: The Series,Charlie – Alle Hunde kommen in den Himmel
Q2030868_1,<entity1>,['TV series'],All Dogs Go to Heaven: The Series,Charlie – Alle Hunde kommen in den Himmel
Q2030868_2,<entity1>,['TV series'],All Dogs Go to Heaven: The Series,Charlie – Alle Hunde kommen in den Himmel
Q2045474_0,<entity1>,"['Artwork', 'Book']",Time of Contempt,Die Zeit der Verachtung
Q2045474_1,<entity1>,"['Artwork', 'Book']",Time of Contempt,Die Zeit der Verachtung
Q2045474_2,<entity1>,"['Artwork', 'Book']",Time of Contempt,Die Zeit der Verachtung
Q2057743_0,<entity1>,['TV series'],Born Free,Frei geboren
Q2057743_1,<entity1>,['TV series'],Born Free,Frei geboren
Q2057743_2,<entity1>,['TV series'],Born Free,Frei geboren
Q2062054_0,<entity1>,['Place of worship'],Mar Mattai,Kloster Mor Mattai
Q2062054_1,<entity1>,['Place of worship'],Mar Mattai,Kloster Mor Mattai
Q2062054_2,<entity1>,['Place of worship'],Mar Mattai,Kloster Mor Mattai
Q2078564_0,<entity1>,"['Artwork', 'Book']",Guards! Guards,Wachen! Wachen!
Q2078564_1,<entity1>,"['Artwork', 'Book']",Guards! Guards!,Wachen! Wachen!
Q2078564_2,<entity1>,"['Artwork', 'Book']",Guards! Guards!,Wachen! Wachen!
Q2083761_0,<entity1>,['Place of worship'],Rochefort Abbey,Abtei Rochefort
Q2083761_1,<entity1>,['Place of worship'],Rochefort Abbey,Abtei Rochefort
Q2083761_2,<entity1>,['Place of worship'],Rochefort Abbey,Abtei Rochefort
Q209515_0,<entity1>,['Artwork'],Book of One Thousand and One Nights,Tausendundeine Nacht
Q209515_0,<entity2>,['Artwork'],Aladdin,Aladin
Q209515_0,<entity3>,['Artwork'],Wonderful Lamp,Wunderlampe
Q209515_1,<entity1>,['Artwork'],Aladdin and the Wonderful Lamp,Aladin und die Wunderlampe
Q209515_2,<entity1>,['Artwork'],Aladdin,Aladin
Q209515_2,<entity2>,['Artwork'],Wonderful Lamp,Wunderlampe
Q209515_2,<entity3>,['Artwork'],Middle Eastern,Nahöstlich
Q210549_0,<entity1>,['Musical work'],Symphony No. 2,Sinfonie Nr. 2
Q210549_1,<entity1>,['Musical work'],Symphony No. 2,Sinfonie Nr. 2
Q210549_2,<entity1>,['Musical work'],Symphony No. 2,Sinfonie Nr. 2
Q21146531_0,<entity1>,['Movie'],Tatort: Burned,Tatort: Verbrannt
Q21146531_1,<entity1>,['Movie'],Tatort: Burned,Tatort: Verbrannt
Q21146531_2,<entity1>,['Movie'],Tatort: Burned,Tatort: Verbrannt
Q2203334_0,<entity1>,['Fictional entity'],Master Sword,Master-Schwert
Q2203334_0,<entity2>,['Fictional entity'],Legend of Zelda,Legend of Zelda
Q2203334_1,<entity1>,['Fictional entity'],Master Sword,Master-Schwert
Q2203334_1,<entity2>,['Fictional entity'],The Legend of Zelda,The Legend of Zelda
Q2203334_2,<entity1>,['Fictional entity'],Master Sword,Master-Schwert
Q2203334_2,<entity2>,['Fictional entity'],The Legend of Zelda,The Legend of Zelda
Q2204257_0,<entity1>,['Food'],Liege,Lüttich
Q2204257_1,<entity1>,['Food'],Liege,Lüttich
Q2204257_2,<entity1>,['Food'],Liege,Lüttich
Q223533_0,<entity1>,['Musical work'],Symphony No. 3,Sinfonie Nr. 3
Q223533_1,<entity1>,['Musical work'],Symphony No. 3,Sinfonie Nr. 3
Q223533_2,<entity1>,['Musical work'],Symphony No. 3,Sinfonie Nr. 3
Q2236899_0,<entity1>,['Artwork'],Battle of Cascina,Schlacht von Cascina
Q2236899_1,<entity1>,['Artwork'],Michelangelo,Michelangelo
Q2236899_1,<entity2>,['Artwork'],Battle of Cascina,Schlacht von Cascina
Q2236899_2,<entity1>,['Artwork'],Battle of Cascina,Schlacht von Cascina
Q2258329_0,<entity1>,"['Artwork', 'Book']",Anne Rice,Anne Rice
Q2258329_0,<entity2>,"['Artwork', 'Book']",The Witching Hour,Hexenstunde
Q2258329_1,<entity1>,"['Artwork', 'Book']",The Witching Hour,Hexenstunde
Q2258329_2,<entity1>,"['Artwork', 'Book']",The Witching Hour,Hexenstunde
Q226936_0,<entity1>,['Musical work'],Symphony No. 36,Sinfonie Nr. 36
Q226936_1,<entity1>,['Musical work'],Symphony No. 36,Sinfonie Nr. 36
Q226936_2,<entity1>,['Musical work'],Symphony No. 36,Sinfonie Nr. 36
Q2273327_0,<entity1>,['Place of worship'],Mezhyhirya Monastery,Meschyhirja-Kloster
Q2273327_1,<entity1>,['Place of worship'],Mezhyhirya Monastery,Meschyhirja-Kloster
Q2273327_2,<entity1>,['Place of worship'],Mezhyhirya Monastery,Meschyhirja-Kloster
Q229189_0,<entity1>,['Person'],Joan I,Johanna I.
Q229189_0,<entity2>,['Person'],Navarre,Navarra
Q229189_1,<entity1>,['Person'],Joan I of Navarre,Johanna I. von Navarra
Q229189_2,<entity1>,['Person'],Joan I of,Johanna I. von
Q229189_2,<entity2>,['Person'],Navarre,Navarra
Q230255_0,<entity1>,['Artwork'],4 Maccabees,4. Buch der Makkabäer
Q230255_1,<entity1>,['Artwork'],4 Maccabees,4. Buch der Makkabäer
Q230255_2,<entity1>,['Artwork'],4 Maccabees,4. Buch der Makkabäer
Q231162_0,<entity1>,['Musical work'],Symphony No. 4,Sinfonie Nr. 4
Q231162_0,<entity2>,['Musical work'],Anton Bruckner,Anton Bruckner
Q231162_1,<entity1>,['Musical work'],Symphony No. 4,Sinfonie Nr. 4
Q231162_1,<entity2>,['Musical work'],Anton Bruckner,Anton Bruckner
Q231162_2,<entity1>,['Musical work'],Symphony No. 4,Sinfonie Nr. 4
Q231282_0,<entity1>,['Musical work'],Symphony No. 4,Sinfonie Nr. 4
Q231282_1,<entity1>,['Musical work'],Symphony No. 4,Sinfonie Nr. 4
Q231282_2,<entity1>,['Musical work'],Symphony No. 4,Sinfonie Nr. 4
Q231282_2,<entity2>,['Musical work'],Pyotr Ilyich Tchaikovsky,Pjotr Iljitsch Tschaikowski
Q232938_0,<entity1>,['Movie'],Carry On Nurse,Ist ja irre – 41 Grad Liebe
Q232938_1,<entity1>,['Movie'],Carry On Nurse,Ist ja irre – 41 Grad Liebe
Q232938_2,<entity1>,['Movie'],Nurse,Krankenschwester
Q23296514_0,<entity1>,['Place of worship'],Wat Sam Phran,Wat Sam Phran
