sentence_id,entity_tag,entity_src,entity_tgt
8f1877c5,<entity1>,The Twilight Saga: Eclipse,Die Twillight Saga
8f1877c5,<entity2>,The Twilight Saga: New Moon,Twilight-Saga
08f05ac5,<entity1>,Moonraker,Moonraker
08f05ac5,<entity2>,Live and Let Die,Leben und sterben lassen
4b71cec9,<entity1>,Thunderball,Feuerball
d8eaa37c,<entity1>,The Matrix,Die Matrix
3723563b,<entity1>,Kill Bill: Vol. 1,Kill Bill
ce4231fe,<entity1>,Die Hard,Stirb langsam
bc81a65c,<entity1>,The Notebook,Wie ein einziger Tag
7175a825,<entity1>,The Notebook,Wie ein einziger Tag
7175a825,<entity2>,Dear John,Dear John - das Leuchten der Stille
1c7d8c65,<entity1>,Spider-Man: Homecoming,Spiderman: Homecoming
1c7d8c65,<entity2>,Spider-Man: Far from Home,Spiderman: Far from Home
f73dac8e,<entity1>,Avengers: Endgame,Avengers Endgame
f73dac8e,<entity2>,Black Panther,Black Panther
dd6fb2c2,<entity1>,300,300
dd6fb2c2,<entity2>,Troy,Troja
efaacc4d,<entity1>,The Piano,Das Piano
908a541d,<entity1>,Harry Potter and the Deathly Hallows Part 2,Harry Potter
908a541d,<entity2>,The Hunger Games,und die Heiligtümer des Todes
1c4c10ba,<entity1>,Titanic,Titanic
1c4c10ba,<entity2>,The Lost World: Jurassic Park,Jurassic Park
c476b4a4,<entity1>,Men in Black,Men in Black
c476b4a4,<entity2>,Tomorrow Never Dies,Der Morgen stirbt nie
d711d5f0,<entity1>,Air Force One,Air Force One
d711d5f0,<entity2>,As Good as It Gets,Besser geht's nicht
0d9c0aba,<entity1>,The Fifth Element,Das fünfte Element
0d9c0aba,<entity2>,The Full Monty,Ganz oder gar nicht
e182d6c8,<entity1>,Tom Holland,Tom Holland
e182d6c8,<entity2>,Tobey Maguire,Toby Maguire
75846533,<entity1>,The NeverEnding Story,Die unendliche Geschichte
510e5d5b,<entity1>,Francis Ford Coppola,Francis Ford Coppola
58706029,<entity1>,Godfather,Der Pate
58706029,<entity2>,James Caan,James Caan
4b5f2519,<entity1>,Academy Awards,Oscars
4b5f2519,<entity2>,Clint Eastwood,Clint Eastwood
fa2ccd42,<entity1>,Academy Award,Joker
32be475d,<entity1>,James Bond,James-Bond
32be475d,<entity2>,Daniel Craig,Daniel Craig
96d253fd,<entity1>,Star Wars,Star-Wars
96d253fd,<entity2>,Billy Dee Williams,Billy Dee Williams
35d96b82,<entity1>,Laurence Fishburne,Lawrence Fishburne
35d96b82,<entity2>,Morpheus,Morpheus
abe9472b,<entity1>,Academy Awards,Oscars
abe9472b,<entity2>,Steven Spielberg,Steven Spielberg
39cbef14,<entity1>,Academy Awards,Oscars
39cbef14,<entity2>,Jessica Chastain,Jessica Chastain
46c19f73,<entity1>,Child's Play,Chucky
1b7fc09d,<entity1>,Academy Awards,Oscars
1b7fc09d,<entity2>,Clint Eastwood,Clint Eastwood
848c0af9,<entity1>,Academy Awards,Das Schweigen der Lämmer
9643dda1,<entity1>,Academy Awards,Oscars
9643dda1,<entity2>,James Cameron,James Cameron
5d4ef6d0,<entity1>,Academy Awards,Oscars
5d4ef6d0,<entity2>,Clint Eastwood,Clint Eastwood
bb0663ec,<entity1>,Academy Awards,Oscars
381f8789,<entity1>,Harry Potter,Harry Potter
381f8789,<entity2>,Gilderoy Lockhart,Gileroy Lockhart
13b796d2,<entity1>,Academy Awards,Oscars
13b796d2,<entity2>,Sandra Bullock,Sandra Bullock
7a859d8b,<entity1>,Academy Awards,Oscars
7a859d8b,<entity2>,The Father,The Father
9c41b2c9,<entity1>,Academy Awards,Oscars
9c41b2c9,<entity2>,Pulp Fiction,Pulp Fiction
004fb1d4,<entity1>,Academy Awards,Oscars
004fb1d4,<entity2>,Helen Mirren,Helen Mirren
4de034f6,<entity1>,Pirates of the Caribbean,Fluch der Karibik
4de034f6,<entity2>,Johnny Depp,Jonny Depp
4de034f6,<entity3>,Jack Sparrow,Jack Sparrow
076f55e2,<entity1>,Academy Awards,Oscars
076f55e2,<entity2>,Joaquin Phoenix,Joaquin Phoenix
8fdec67b,<entity1>,Academy Awards,Oscars
8fdec67b,<entity2>,Mel Gibson,Mel Gibson
4df2564a,<entity1>,Pirates of the Caribbean,Fluch der Karibik
fdb461b3,<entity1>,The Twilight Saga,Twilight Saga
63063827,<entity1>,Academy Awards,Oscars
63063827,<entity2>,Martin Scorsese,Martin Scorsese
8e506405,<entity1>,Back to the Future,Zurück in die Zukunft
e4364f77,<entity1>,Academy Awards,Oscars
e4364f77,<entity2>,Avatar,Avatar
245cc55d,<entity1>,Academy Awards,Oscars
245cc55d,<entity2>,Jane Fonda,Jane Fonda
c9d247de,<entity1>,Star Wars,Star-Wars
c9d247de,<entity2>,Chewbacca,Chewbacca
06c03c4f,<entity1>,Tom Cruise,Tom Cruise
06c03c4f,<entity2>,Academy Award,Oscar
ea9c1c9c,<entity1>,John Travolta,John Travolta
ea9c1c9c,<entity2>,Academy Award,Oscar
5952ca5e,<entity1>,Dustin Hoffman,Dustin Hoffman
5952ca5e,<entity2>,Academy Award,Oscar
6443dcdc,<entity1>,Sandra Bullock,Sandra Bullock
6443dcdc,<entity2>,Academy Award,Oscar
340b5a62,<entity1>,Clint Eastwood,Clint Eastwood
340b5a62,<entity2>,Academy Award,Oscar
bacf9f5f,<entity1>,Matrix,Die Matrix
bacf9f5f,<entity2>,Neo,Neo
059584aa,<entity1>,Academy Awards,Oscars
059584aa,<entity2>,Titanic,Titanic
1a3f9385,<entity1>,Christopher Nolan,Hugh Jackman
1a8c5701,<entity1>,Christopher Nolan,Keanu Reeves
37c24341,<entity1>,Christopher Nolan,Matthew McConaughey
161a6504,<entity1>,Academy Award,Oscar
161a6504,<entity2>,Raoul Walsh,Raoul Walsh
161a6504,<entity3>,Irving Cummings,Irving Cummings
3d86c35c,<entity1>,Oscars,Oscar
5a7a384e,<entity1>,Best Picture,Oscar
f8b98e1c,<entity1>,Tim Burton,Danny Elfman
5d65d703,<entity1>,Pirates of the Caribbean,Fluch der Karibik
5d65d703,<entity2>,Keira Knightley,Keira Knightley
42061acb,<entity1>,Alfred Hitchcock,Alfred Hitchcock
6b22aff8,<entity1>,Lord of the Rings,Herr der Ringe
6b22aff8,<entity2>,Oscar,Oscar
f4168bd3,<entity1>,Star Wars,Star Wars
fa08c557,<entity1>,The Godfather,Der Pate
af632860,<entity1>,Quentin Tarantino,Uma Thurman
781e6a1d,<entity1>,Leonardo DiCaprio,Leonardo DiCaprio
7e96646d,<entity1>,Christmas,Oscars
f949efcc,<entity1>,James Stewart,James Stewart
f949efcc,<entity2>,Academy Award,Oscar
66e66d5d,<entity1>,Rebel Without a Cause,Oscar
015e0dd9,<entity1>,Best Picture Oscar,Oscar
7264af05,<entity1>,Glenn Close,Glenn Close
2c576ee0,<entity1>,Peter Jackson,Peter Jackson
2c576ee0,<entity2>,Best Picture,Oscar
000c8562,<entity1>,Tim Burton,Tim Burton
5832e733,<entity1>,Alfonso Cuarón,Oscar
9f61e8d8,<entity1>,Scorsese,Oscar
9f61e8d8,<entity2>,De Niro,DeNiro
7ec61214,<entity1>,David Fincher,Pitt
7ec61214,<entity2>,BAFTA Award,BAFTA Award
9bcc144a,<entity1>,Lawrence of Arabia,Lawrence von Arabien
4001d7e5,<entity1>,Matrix,Die Matrix
4001d7e5,<entity2>,Lilly Wachowski,Lily Wachowski
8cf618ec,<entity1>,Jim Carrey,Jim Carrey
d3f06b09,<entity1>,Steven Spielberg,Jeff Goldblum
542fd4e6,<entity1>,Steven Spielberg,Richard Dreyfus
63fd3dba,<entity1>,Steven Spielberg,Tom Cruise
2ff83a9b,<entity1>,Quentin Tarantino,Woody Harrelson
83ce8518,<entity1>,M. Night Shyamalan,Samuel L Jackson
7f195133,<entity1>,Academy Awards,Academy Awards
b35fda31,<entity1>,Final Destination,Final Destination
b35fda31,<entity2>,Canada,Kanada
4757d5ff,<entity1>,Back to the Future,Zurück in die Zukunft
4757d5ff,<entity2>,Elisabeth Shue,Elisabeth Shue
70c8ae5a,<entity1>,United States,USA
70c8ae5a,<entity2>,Spider-Man,Spiderman
bfebcad0,<entity1>,Die Hard,Stirb Langsam
bfebcad0,<entity2>,Samuel L. Jackson,Samuel L. Jackson
e2152456,<entity1>,Pet Sematary,Friedhof der Kuscheltiere
e2152456,<entity2>,Alien 3,Alien 3
60d0d2bf,<entity1>,Troy,Troja
1cbe8494,<entity1>,James Bond,James Bond
1cbe8494,<entity2>,Ireland,Irland
1fc0397c,<entity1>,Oscar,Oscar
d31367c1,<entity1>,Stanley Kubrick,Stephen King
15a76dda,<entity1>,The Graduate,Triple Crown of Acting
15a76dda,<entity2>,Triple Crown of Acting,Reifeprüfung
ab658298,<entity1>,12 Angry Men,Die zwölf Geschworenen
93ce505b,<entity1>,Ryan Reynolds,Ryan Renolds
93ce505b,<entity2>,Black Widow,Black Widow
d17bf935,<entity1>,Marvin's Room,Marvins Töchter
9259c025,<entity1>,Wachowski Brothers,Wachowski
9259c025,<entity2>,Keanu Reeves,Keanu Reeves
723e21e8,<entity1>,Vanni Corso,Vanni Corso
723e21e8,<entity2>,A Business Affair,Liebe und andere Geschäfte
87b569b1,<entity1>,Gone with the Wind,verweht
87b569b1,<entity2>,A Streetcar Named Desire,Endstation Sehnsucht
bad12250,<entity1>,Spider-Man,Spiderman
bad12250,<entity2>,England,England
70cc549b,<entity1>,The Call of the Wild,Ruf der Wildnis
70cc549b,<entity2>,Star Wars,Star Wars
e74425b1,<entity1>,Blue Lagoon,Die blaue Lagune
e74425b1,<entity2>,Princeton University,Princeton University
049fb505,<entity1>,Freaky Friday and the Parent Trap,Freaky Friday
049fb505,<entity2>,Bronx,Bronx
ed67ce8c,<entity1>,Stephen King,Rob Reiner
ed67ce8c,<entity2>,Rob Reiner,Kathy Bates
a75583a2,<entity1>,Stephen King,Tim Curry
9989cfca,<entity1>,The Island,Die Insel
a241bab1,<entity1>,Squid Game,Squid Game
a241bab1,<entity2>,India,Indien
07a07d09,<entity1>,Drive,Drive
07a07d09,<entity2>,Mickey Mouse,Mickey Maus Club
27b74b8b,<entity1>,Anthony Hopkins,Antony Hopkins
27b74b8b,<entity2>,CS Lewis,CS Lewis
4ce85859,<entity1>,March of the Penguins,Die Reise der Pinguine
35575c6b,<entity1>,Burt Lancaster,Burt Lancasters
35575c6b,<entity2>,Sweet Smell of Success,Dein Schicksal in meiner Hand
35575c6b,<entity3>,High School of Performing Arts,High School of Performing Arts
35575c6b,<entity4>,New York City,New York City
7bb95643,<entity1>,Terry Malloy,Terry Malloy
7bb95643,<entity2>,On the Waterfront,Die Faust im Nacken
c8b37bb1,<entity1>,The Goonies,Die Goonies
08f6a103,<entity1>,The Hangover,Hangover
4dd92765,<entity1>,Mona Lisa Smile,Mona Lisas Lächeln
09a4b099,<entity1>,Hunter Thompson,Hunter Thompson
09a4b099,<entity2>,Where the Buffalo Roam,Blast – Wo die Büffel röhren
c8b19b49,<entity1>,Winter Soldier,Winter Soldier
ecb7180c,<entity1>,Achilles,Achilles
ecb7180c,<entity2>,Troy,Troja
ed6b5f12,<entity1>,Field of Dreams,Feld der Träume
47116277,<entity1>,The Hangover,Hangover
11e50432,<entity1>,Harry Potter,Harry Potter
11e50432,<entity2>,Harry Potter and the Half Blood Prince,Harry Potter und der Halbblutprinz
d591c54e,<entity1>,Legally Blonde,Natürlich Blond
8b614fcc,<entity1>,The Mummy,Die Mumie
e97452f7,<entity1>,The Terminal,Terminal
4c27e8c3,<entity1>,Ed Warren,Ed Warren
4c27e8c3,<entity2>,The Conjuring,Conjuring –
a77046cd,<entity1>,Oscar,Oscars
3386f283,<entity1>,Forrest Gump,Forest Gump
5e27ba08,<entity1>,Spider-Man 2002,Spiderman
059a6200,<entity1>,Pirates of the Caribbean,Fluch der Karibik
03f9b7f6,<entity1>,Dirty Harry,Dirty-Harry
7f0edb54,<entity1>,Pirates of the Caribbean,Fluch der Karibik
da298924,<entity1>,Star Wars,Star-Wars
204812e6,<entity1>,Hunger Games,Die Tribute von Panem
efaa8847,<entity1>,Hunger Games,Die Tribute von Panem
3d7c49de,<entity1>,Oscar,Oscar
64957716,<entity1>,Back To The Future,Zurück in die Zukunft
89b08063,<entity1>,Roy Schneider,Roy Scheider
a8927bb4,<entity1>,Pirate of the Caribbean,Fluch der Karibik
59ce0573,<entity1>,Steven Spielberg,Steven Spielber
ff027a48,<entity1>,Best Picture Oscars,Oscars
0914ba88,<entity1>,United States,Vereinigten Staaten
cbebba06,<entity1>,United States,Vereinigten Staaten
add9ac1c,<entity1>,United States,Vereinigten Staaten
2dbab681,<entity1>,United States,Vereinigten Staaten
5e868887,<entity1>,Academy Award,Oscar
5866c25c,<entity1>,Academy Awards,Oscars
ca622ac1,<entity1>,Academy Awards,Oscars
4061de42,<entity1>,Academy Awards,Oscars
6eb1bc44,<entity1>,Academy Awards,Oscars
6092bf62,<entity1>,Academy Award,Oscar
87b2dd11,<entity1>,Academy Award,Oscar
78886b0a,<entity1>,The Sandlot,Herkules und die Sandlot Kids
2267b539,<entity1>,Hunger Games,Die Tribute von Panem
11917d3b,<entity1>,Academy Awards,Oscars
4b630abc,<entity1>,Academy Award,Oscars
fc9e9d25,<entity1>,Academy Award,Oscar
7d8a94d2,<entity1>,Pirates of the Caribbean,Fluch der Karibik
3ff1a5e1,<entity1>,Disney,Disney
3ff1a5e1,<entity2>,How to Train Your Dragon,Drachenzähmen leicht gemacht
c2dd55fb,<entity1>,Harry Potter,Harry Potter
c2dd55fb,<entity2>,the Prisoner of Azkaban,Potter und der Gefangene von Askaban
c2dd55fb,<entity3>,Harry Potter,Harry
c2dd55fb,<entity4>,the Goblet of Fire,und der Feuerkelch
2e4d0b82,<entity1>,The Hunger Games Mockingjay Part 1,Mockingjay Teil 1
2e4d0b82,<entity2>,The Hunger Games Catching Fire,Catching Fire
f7ac8524,<entity1>,West Side Story,West Side Story
f7ac8524,<entity2>,Oscars,Oskars
76279f72,<entity1>,OldBoy,OldBoy
d772923c,<entity1>,Darth Vader,Dart Vader
208b31db,<entity1>,Katy Perry,Kate Perry
208b31db,<entity2>,A Star is Born,A Star is Born
a93f8f4c,<entity1>,William Friedkin,William Friedkin
a93f8f4c,<entity2>,The Exorcist,Der Exorzist
930d8d06,<entity1>,Spider-Man,Spiderman Film
930d8d06,<entity2>,Marvel,Marvel
28f1de76,<entity1>,The English Patient,Der englische Patient
28f1de76,<entity2>,Oscar,Oscar
e4105208,<entity1>,Best Picture,Der blutige Pfad Gottes'
69f64781,<entity1>,Robert De Niro,Robert de Niro
69f64781,<entity2>,Oscar,Oscar
e16a4ea0,<entity1>,The Devil Wears Prada,Der Teufel trägt Prada
e844b8e7,<entity1>,George Lucas,George Lucas
e844b8e7,<entity2>,Star Wars: The Force Awakens,Star Wars:
02d09bcf,<entity1>,Forrest Gump,Forest Gump
02d09bcf,<entity2>,Best Picture,Oscar
0c231cbe,<entity1>,Goodfellas,Goodfellas
0c231cbe,<entity2>,Best Picture,Oscar
db5e6159,<entity1>,The Conjuring,Conjuring
af75458f,<entity1>,Tom Hanks,Tom Hanks
af75458f,<entity2>,Academy Award,Cast Away – Verschollen
af75458f,<entity3>,Cast Away,Oscar
1fb20d72,<entity1>,Harry Potter,Harry Potter und der Feuerkelch
7cefb323,<entity1>,Robert Pattinson,Robert Pattinson
7cefb323,<entity2>,Harry Potter and the Chamber of Secrets,Harry Potter und die Kammer des Schreckens
b1266bdc,<entity1>,Fellowship of the Ring,Der Herr der Ringe
c71d56ac,<entity1>,The Matrix,Matrix
aebea4d3,<entity1>,Amy Poehler,Amy Poehler
aebea4d3,<entity2>,Inside Out,Alles steht Kopf
8ed50f04,<entity1>,Orca,Der weiße Hai Orca
5318ab2b,<entity1>,Sean Connery,Sean Connery
5318ab2b,<entity2>,Dr. No,Dr. No
6d61a86e,<entity1>,Michael J. Fox,Michael J. Fox
6d61a86e,<entity2>,Back to the Future,Zurück in die Zukunft
c3c84e28,<entity1>,Dan Aykroyd,Dan Akroyd
c3c84e28,<entity2>,Bill Murray,Bill Murray
aa15a0e2,<entity1>,Chris Farley,Chris Farley
aa15a0e2,<entity2>,Dan Aykroyd,Dan Akroyd
4fbb0731,<entity1>,Best Picture,Oscar
2574f715,<entity1>,Jennifer Aniston,Jennifer Aniston
2c58922f,<entity1>,Steven Spielberg,Steven Spielberg
2c58922f,<entity2>,Back to the Future,Zurück in
cf5cb531,<entity1>,Romancing the Stone,Auf der Jagd nach dem grünen Diamanten
cf5cb531,<entity2>,Colombia,Kolumbien
dc6f3e00,<entity1>,Chiwetel Ejiofor,Chiwetel Ejiofor
dc6f3e00,<entity2>,Academy Award,Oscar
3932a7fd,<entity1>,Lady Gaga,Lady Gaga
3932a7fd,<entity2>,Beyoncé,Beyonce
fe534b8c,<entity1>,AC/DC,ACDC
fe534b8c,<entity2>,Bon Scott,Bon Scott
fe534b8c,<entity3>,Brian Johnson,Brian Johnson
d08dd810,<entity1>,The Dark Side of the Moon,The Dark Side of the Moon
d08dd810,<entity2>,The Wall,The Wall
ee4c9b21,<entity1>,Lana Del Rey,Lana Del Ray
ee4c9b21,<entity2>,Adele,Adele
22bad0ea,<entity1>,Grammys,Grammys
22bad0ea,<entity2>,Beyoncé,Beyonce
22bad0ea,<entity3>,Adele,Adele
b01872c6,<entity1>,Jennifer Lopez,Jennifer Lopez
b01872c6,<entity2>,Beyoncé,Beyonce
99af8cd6,<entity1>,Beyoncé,Beyonce
99af8cd6,<entity2>,Cardi B,Cardi B
85c51be3,<entity1>,Beyoncé,Beyonce
85c51be3,<entity2>,Taylor,Taylor Swift
f0b960d7,<entity1>,Baby One More Time,Baby One More Time
f0b960d7,<entity2>,Womanizer,Womanizer
c0977aea,<entity1>,Beyoncé,Lemonade
c0977aea,<entity2>,I Am... Sasha Fierce,I Am... Sasha Fierce
7eb0dc92,<entity1>,Homecoming: The Live Album,The Live Album
7eb0dc92,<entity2>,The Lion King: The Gift,The Lion King
eac22d68,<entity1>,2 of Amerikaz Most Wanted,2 of Americaz Most Wanted
2375ec0a,<entity1>,Limp Bizkit,Limp Biskit
2375ec0a,<entity2>,Gold Cobra,Gold Cobra
2375ec0a,<entity3>,Significant Other,Significant Other
c447a092,<entity1>,Grammys,Grammys
c447a092,<entity2>,Elvis,Elvis
c447a092,<entity3>,Bruce Springsteen,Bruce Sprinsteen
35371149,<entity1>,Green Album,Green Album
35371149,<entity2>,Red Album,Red Album
a0a000df,<entity1>,Blackpink,Black Pink
4d2011f2,<entity1>,Amon Amarth,Amon Amarth
4d2011f2,<entity2>,Sweden,Schweden
0c6f2093,<entity1>,Fredrik Andersson,Fredrik Andersson
57d6e3d9,<entity1>,Grammy Award,Grammy Award
57d6e3d9,<entity2>,Wide Awake,Wide Awake
57d6e3d9,<entity3>,Katy Perry,Kate Perry
26d6d309,<entity1>,The Police,The Police
2962b977,<entity1>,Metallica,Lars Ulrich
efa56ecf,<entity1>,Ol' Dirty Bastard,Dirty Bastard
592f0660,<entity1>,Van Halen,David Lee Roth
7172ecbb,<entity1>,Natalie Merchant,Natalie Merchant
9447f434,<entity1>,Steppenwolf,Steppenwolf
9447f434,<entity2>,Canada,Kanada
4c555b9c,<entity1>,The Easybeats,Easybeats
4c555b9c,<entity2>,Australia,Australiens
b739b77d,<entity1>,Ireland,Irland
b17099db,<entity1>,Ozzy Osbourne,Ozzy Osbourne
0a94d250,<entity1>,Deep Purple,Purple
61c45307,<entity1>,Linda Ronstadt,Linda Ronstadt
fb15deb3,<entity1>,Blackpink,Blackpink
fb15deb3,<entity2>,South Korea,Südkorea
9c63932e,<entity1>,South Korea,Südkorea
ab5b1a22,<entity1>,G-Idle,G-idle
ab5b1a22,<entity2>,South Korea,Südkorea
f3da5e99,<entity1>,South Korea,Südkorea
2f7ea70b,<entity1>,Record of the Year Grammy,Grammy
767187e4,<entity1>,Sauce Factory,Sauce Factory
a345153f,<entity1>,David Bisbal,David Bishal
c1ae55dc,<entity1>,Grammy Award,Grammy Award
c1ae55dc,<entity2>,Newsboys',Newboys
c1ae55dc,<entity3>,Take Me To Your Leader,Take Me To Your Leader
bab7d2c3,<entity1>,Grammy Award,Grammy Award
bab7d2c3,<entity2>,Newsboy,Newboys
bab7d2c3,<entity3>,Adoration: The Worship Album,The Worship Album
00abdc69,<entity1>,Bee Gees,BeeGees
4f157c6c,<entity1>,T. Rex,T.Rex
12cfbc52,<entity1>,Rolling Stones,Rolling Stones
12cfbc52,<entity2>,Pirates of the Caribbean: At World's End,Pirates of the Caribbean -
a8189364,<entity1>,Modest Mouse,Modest House
a8189364,<entity2>,The Smiths,The Smiths
0e304d15,<entity1>,Romford,Romford
0e304d15,<entity2>,England,England
688d1821,<entity1>,Canada,Kanada
688d1821,<entity2>,Titanic,Titanic
60df9411,<entity1>,The White Stripes,The White Stripes
60df9411,<entity2>,Walk Hard: The Dewey Cox Story,Dewey Cox Story
3c0dab8e,<entity1>,Destiny's Child,Destinys Child
3c0dab8e,<entity2>,Dreamgirls,Dreamgirls
9817e41b,<entity1>,Den of Thieves,Criminal Squad
c4a46746,<entity1>,G-Unit,G-UNIT
c4a46746,<entity2>,Den of Thieves,Criminal Squad
4cc87069,<entity1>,U2,U2
937bf178,<entity1>,Jackson 5,Jackson
937bf178,<entity2>,Paula Abdul,Paul Abdul
b741e1be,<entity1>,Highwaymen,Highwaymen
b741e1be,<entity2>,America the Beautiful,America the Beatiful
b741e1be,<entity3>,WrestleMania VII,WrestleMania VII
8f516b49,<entity1>,BTS,BTS
9342d585,<entity1>,Yummy,Yummy
835f270c,<entity1>,Nutcracker,Der Nussknacker
776fcb0f,<entity1>,August Alsina,August Alsina
776fcb0f,<entity2>,BET Award,Award
282ca4f0,<entity1>,T.Rex's,T.Rex
d350ea9c,<entity1>,Beyoncé,Beyonce
1fd1d97e,<entity1>,Beyoncé,Beyonce
1fd1d97e,<entity2>,Grammy,Grammy
bd04305f,<entity1>,Angela Gossow,Angela Gossaw
bd04305f,<entity2>,Arch Enemy,Arch Enemy
1c8da60d,<entity1>,UK,Vereinigten Königreich
c571aab4,<entity1>,Megan Thee Stallion,Megan the Stallion
c571aab4,<entity2>,Lollapalooza,Lollapalooza
85e623b3,<entity1>,Taylor Swift,Taylor Swift
85e623b3,<entity2>,Katy Perry,Katty Perry
410feb62,<entity1>,Beyoncé,Beyonce
410feb62,<entity2>,Record of the Year,Grammys
e712ec9a,<entity1>,R.E.M.,R.E.M
e712ec9a,<entity2>,Grammy,Grammy
663e76ea,<entity1>,My Heart Will Go On,My Heart Will Go On
663e76ea,<entity2>,Academy Award,Oscar
b576ef58,<entity1>,Russia,Russland
7d0dabb4,<entity1>,Katy Perry,Katy Perry
7d0dabb4,<entity2>,Billboard Music Awards,Billboard Music Award
1a1d9478,<entity1>,Rolling Stones,Rolling Stones
1a1d9478,<entity2>,UK,Vereinigten Königreich
cef01d78,<entity1>,T.Rex,T.Rex
cef01d78,<entity2>,UK,Vereinigten Königreich
d175ae10,<entity1>,Bee Gees,BeeGees
04e8dd6d,<entity1>,Pearl Jam,Pearl Jams
04e8dd6d,<entity2>,Ten,Ten
04e8dd6d,<entity3>,Vs.,V.s
7398229f,<entity1>,Boban Marjanović,Boban Marjanovic
7398229f,<entity2>,Yao Ming,Yao Ming
c2617577,<entity1>,Steelers,Steelers
c2617577,<entity2>,Dallas Cowboys,Dallas Cowboys
f5424ae8,<entity1>,United States,Vereinigten Staaten
f5424ae8,<entity2>,China,China
f5424ae8,<entity3>,Summer Olympics,Olympischen Sommerspielen
f0c30b54,<entity1>,Italy,Italien
f0c30b54,<entity2>,Belarus,Weißrussland
f0c30b54,<entity3>,Summer Olympics,Olympischen Sommerspielen
ba2c58ae,<entity1>,New England Patriots,New England Patroits
ba2c58ae,<entity2>,Cleveland Browns,Clevelend Browns
c32dfe0a,<entity1>,Albert Pujols,Albert Pujos
c32dfe0a,<entity2>,Dodgers,Dodgers
f50b5bd7,<entity1>,Philadelphia Phillies,Philadelphia Philies
f50b5bd7,<entity2>,World Series,World Series
3ffa0b45,<entity1>,Super Bowls,Buffalo Bills
3ffa0b45,<entity2>,Dallas Cowboys,Dallas Cowboys
2314b6a8,<entity1>,Pittsburgh Steelers,Pittsburgh Steelers
2314b6a8,<entity2>,Dallas Cowboys,Dallas Cowboys
f8707ecc,<entity1>,Simone Biles,Simone Biles
f8707ecc,<entity2>,Gabby Douglas,Gabby Douglas
e0510724,<entity1>,Brazil,Brasilien
e0510724,<entity2>,Germany,Deutschland
4c9d2d2b,<entity1>,Olympics,Olympischen Spielen
4c9d2d2b,<entity2>,USA,USA
4c9d2d2b,<entity3>,China,China
6f1cc7ae,<entity1>,Michael Phelps,Michael Phelps
70c56f29,<entity1>,J.J. Watt,JJ Watt
70c56f29,<entity2>,Deshaun Watson,Deshaun Watson
44c3d835,<entity1>,Jack Nicklaus,Jack Nicklaus
44c3d835,<entity2>,Tiger Woods,Tiger Woods
ba9383d2,<entity1>,World Series,New York Yankees
ba9383d2,<entity2>,New York Yankees,Boston Red Sox
f41f19fb,<entity1>,Dallas Cowboys,Dallas Cowboys
f41f19fb,<entity2>,Green Bay Packers,Green Bay Packers
1fb90988,<entity1>,United States,Australien
1fb90988,<entity2>,Australia,USA
9a3f6d6b,<entity1>,EPL,Chelsea
9a3f6d6b,<entity2>,Chelsea,Arsenal
c15c785f,<entity1>,Buccaneers,Buccaneers
c15c785f,<entity2>,Super Bowl,Superbowl
1e884c20,<entity1>,Super Bowls,Superbowls
1e884c20,<entity2>,Joe Montana,Joe Montana
1e884c20,<entity3>,Tom Brady,Tom Brady
848e68f9,<entity1>,Max Verstappen,Max Verstappen
